,Unnamed: 0,prompt,completion
44,44,The Mind Robber,"After an accident with the TARDIS, the Doctor, Zoe and Jamie are transported into a dimension where fiction rules. Here they encounter a range of fictional characters and some ominous White Robots."
215,215,A Christmas Carol,"Amy and Rory are trapped on a crashing space liner, and the only way The Doctor can rescue them is to save the soul of a lonely old miser. But is Kazran Sardick, the richest man in Sardicktown, beyond redemption? And what is lurking in the fogs of Christmas Eve?"
299,299,War of the Sontarans,"In the Crimean War, the Doctor discovers the British army fighting a brutal alien army of Sontarans, as Yaz and Dan are thrown deeper into a battle for survival. What is the Temple of Atropos? Who are the Mouri?"
205,205,The Eleventh Hour,"The Doctor has regenerated into a brand-new man, but danger strikes before he can even recover, as Doctor Who returns for a new series. With the Tardis wrecked and the sonic screwdriver destroyed, the new Doctor has just 20 minutes to save the whole world – and only Amy Pond to help him"
158,158,Doctor Who The Movie,"The Doctor is on his way home to Gallifrey with the remains of his arch-nemesis, The Master. Forced off course, the TARDIS arrives in San Francisco on New Year’s Eve 1999, where the Doctor is critically wounded in a gun battle. At the local hospital, Dr. Grace Holloway fights – and fails – to save his life. Later, in the morgue, the Doctor wakes up a new man. But he is not the only one – the Master has also found himself a new body. Can the Doctor stop his oldest enemy from destroying all life on Earth in time to ring in the new millennium?"
164,164,The Long Game,"Adam catches a glimpse of the wonders of travelling in the Tardis, as they head to a future, where Satellite 5 broadcasts to the entire Earth Empire. But anyone promoted to Floor 500 is never seen again, and the Doctor suspects mankind is being manipulated."
132,132,Resurrection of the Daleks,"The TARDIS materialises in present day London within sight of Tower Bridge. Investigating some nearby warehouses, the travellers stumble into a trap that the Daleks have set for them…"
54,54,Terror of the Autons,"The Earth is in terrible danger! The Master is back with an evil scheme to destroy humanity and silence the Doctor forever. His plan? To awaken the awesome power of the Nestene – a ruthlessly aggressive alien life form. Once mixed with plastic, they will form into faceless automatons, a willing army of destruction easily controlled by the evil Time Lord himself. This is the terrible threat now facing the Earth – the terror of the Autons."
144,144,Terror of the Vervoids,"The distraught Doctor gives the court his evidence for the defence. He chooses an incident from his own future, in which he and his companion Mel arrive on the space liner Hyperion III in response to a distress call."
18,18,Mission to the Unknown,"Stranded in the jungles of Kembel, the most hostile planet in the Galaxy, Space Security agent Marc Cory has stumbled across the most deadly plot ever hatched – the Daleks are about to invade and destroy the Universe. Cory has to get a warning back to Earth before it’s too late – but the Daleks find him first."
171,171,Tooth and Claw,"The Doctor and Rose travel back to the year 1879 when an encounter in the Scottish Highlands with Queen Victoria and a band of Warrior Monks reveals a deadly trap, dating back centuries. Perhaps the local legends about a werewolf could really be true."
79,79,Terror of the Zygons,"Centuries ago, a Zygon spaceship crash landed in Loch Ness. Now, with their home planet destroyed, the alien creatures plan to take over Earth. Their most powerful weapon is a huge armoured dinosaur-like creature of terrifying power that they brought to earth as an embryo – the Loch Ness Monster.

The Doctor, Sarah and Harry soon discover that the Zygons have another weapon. They can assume the identity of any human they capture. Who knows which of their friends might really be a Zygon?"
152,152,Silver Nemesis,"The Doctor and Ace visit England in 1988, where three rival factions – the Cybermen, a group of Nazis and a 17th Century sorceress named Lady Peinforte – are attempting to gain control of a statue made of a living metal, validium, that was created by Rassilon as the ultimate defence for Gallifrey. Can the Doctor plays the three factions off against one other and eventually defeat to the Cyber Leader?"
56,56,The Claws of Axos,"An approaching Alien spaceship is detected on monitoring equipment at UNIT HQ, where the Brigadier is entertaining two visitors – Chinn, a civil servant making a security inspection, and Bill Filer, an American agent sent to discuss the threat of the Master. The Ship lands in England and the UNIT team, joined by Hardiman and Winser from the nearby Nuton power station, meet its occupants: beautiful golden-skinned humanoids called Axons."
71,71,Death to the Daleks,"A power failure in the TARDIS draws it off course, and the Doctor and Sarah Jane Smith end up stranded on the bleak planet of Exxilon. They soon meet members of an Earth expedition in a similar situation. The humans are searching for a rare mineral, but first they must find out what is draining their power and avoid what’s inside another grounded spaceship – the Doctor’s oldest enemies, the Daleks…"
146,146,Time and the Rani,"The Rani has taken control of the planet Lakertya and forced the peaceful Lakertyans to build a rocket silo-cum laboratory base into a cliff face. She is aided by the Tetraps, a race of bat-like creatures, and plans to fire a rocket loaded with loyhargil, a substance with the same properties as strange matter, at an asteroid completely composed of the latter. 

As a preliminary to this she has created a huge artificial brain and kidnapped a number of geniuses – Including Pasteur and Einstein from Earth – to imbue it with the ability first to identify and then to calculate the correct way to create loyhargil for her in the laboratory. The newly-regenerated Doctor and Mel must stop her and save the planet…"
253,253,Flatline,"Separated from the Doctor, Clara discovers a new menace from another dimension.

But how do you hide when even the walls are no protection? With people to save and the Doctor trapped, Clara comes up against an enemy that exists beyond human perception."
213,213,The Lodger,"There’s a house on Aickman road, and a staircase that people go up, but never down, as the time-travelling drama continues. To solve the mystery of the man upstairs, the Doctor faces his greatest challenge yet – he must pass himself off as a perfectly normal human being, and share a flat with Craig Owens."
291,291,Spyfall (Part Two),"In part two of this epic spy thriller, a terrifying plan to destroy humanity is about to reach fruition. Can the Doctor and her friends escape multiple traps and defeat a deadly alliance?"
223,223,The Girl Who Waited,"Amy is trapped in a quarantine facility for victims of an alien plague – a plague that will kill the Doctor in a day.

The Doctor can use the TARDIS to smash through time and break in, but then Rory is on his own. He must find Amy and bring her back to the TARDIS before the alien doctors can administer their medicine. Rory is about to encounter a very different side to his wife. Can he rescue Amy before she is killed by kindness?"
160,160,The End of the World,"Its the year Five Billion, and the Doctor and Rose arrive on Platform One to journey through time. The Sun is about to expand and swallow the Earth but, amongst the alien races gathering to watch, a murderer is at work."
284,284,Demons Of The Punjab,"“What’s the point of having a mate with a time machine, if you can’t nip back and see your gran when she was younger?”

India, 1947. The Doctor and her friends arrive in the Punjab, as the country is being torn apart. While Yaz attempts to discover her grandmother’s hidden history, the Doctor discovers demons haunting the land. Who are they and what do they want?"
33,33,The Macra Terror,"The Doctor, Polly and Ben visit a human colony that appears to be one big holiday camp. They soon discover, though, that its inhabitants have been brainwashed by the Macra, giant crab-like creatures who have taken over the colony. The humans are being forced to mine a gas that is essential for the Macra to survive – but fatal to them."
83,83,The Brain of Morbius,"The planet Karn is home both to a mystic Sisterhood, whose sacred flame produces an elixir of life, and to Solon, a fanatical scientist who is using the remnants of spaceship crash victims to put together a new body for the still-living brain of the executed Time Lord criminal Morbius. When the Doctor and Sarah arrive on the planet, Solon decides that the Doctor’s head is just what he needs to complete his work."
189,189,Utopia/The Sound of Drums/Last of the Time Lords,"As Captain Jack storms back into the Doctor’s life, the Tardis is thrown out of control, to the end of the universe. There, they find the savage Futurekind ruling the wilderness, while a lonely Professor tries in vain to save the last of the human race.

Back on Earth, Harry Saxon becomes Prime Minister, and his reign of terror begins. This is only the start of his ambitions, however, as he announces mankind’s first contact with an alien race, the Toclafane. An audacious plan, spanning the whole of time and space, begins to close around the Earth."
214,214,The Pandorica Opens/The Big Bang,The Doctor is once again reunited with River Song as the Pandorica opens and silence falls.
118,118,The Visitation,"The Doctor attempts to take Tegan back to Heathrow Airport but the TARDIS arrives in the 17th Century instead of the 20th. The time travellers discover that a space capsule has crash-landed nearby and that its alien occupants, three Terileptil prison escapees, intend to wipe out all indigenous life on Earth by releasing rats infected with an enhanced strain of the great plague. The creatures are also using a sophisticated android to strike terror into the local villagers. Aided by itinerant thespian Richard Mace, the Doctor tracks the Terileptils to their base in Pudding Lane, London. The creatures are ultimately destroyed when a fire breaks out and the Terileptil leader’s weapon explodes – also setting off the Great Fire of London."
133,133,Planet of Fire,The Doctor and Turlough arrive in Lanzarote on Earth to investigate the transmission of an unusual signal that turns out to be emanating from a mysterious alien artefact.
60,60,The Curse of Peladon,"The Doctor and Jo make a test flight in the TARDIS and arrive on the planet Peladon. Seeking shelter, they enter the citadel of the soon-to-be-crowned King Peladon, where the Doctor is mistaken for a human dignitary summoned to act as Chairman of a committee assessing an application by the planet to join the Galactic Federation."
161,161,The Unquiet Dead,"The Doctor and Rose travel back through time to Victorian Cardiff, where the dead are walking and creatures made of gas are on the loose. The time travellers team up with Charles Dickens to investigate Mr Sneed, the local Undertaker."
283,283,The Tsuranga Conundrum,"“Risk to life: absolute.”

Injured and stranded in the wilds of a far-flung galaxy, The Doctor, Yaz, Graham and Ryan must band together with a group of strangers to survive against one of the universe’s most deadly — and unusual — creatures."
110,110,Full Circle,"The TARDIS falls through a CVE into E-Space and arrives on the planet Alzarius. There the inhabitants of a crashed Starliner and a group of young rebels called the Outlers, led by a boy named Varsh and including his brother Adric, are being terrorised by a race of Marshmen who emerge from the marshes at a time known as Mistfall."
16,16,The Time Meddler,"The TARDIS arrives on an English coastline in the year 1066. Exploring, the Doctor discovers that one of his own people, the Monk, is conspiring to wipe out the Viking fleet and thus allow King Harold to face the forces of William of Normandy with a fresh army at the Battle of Hastings. The Doctor succeeds in thwarting the Monk’s plans and leaves him trapped in England."
75,75,The Ark in Space,"The TARDIS arrives on an apparently deserted and deactivated space station Nerva, otherwise known as the Ark, orbiting Earth in the far future. There the Doctor, Sarah and Harry discover the last survivors of the human race held in suspended animation, Earth having been evacuated thousands of years earlier when solar flares threatened to destroy all life. The station has been visited by Wirrn, an insect life form, which has laid its eggs in the solar stacks and absorbed the mind and body of one of the sleeping humans. The Doctor’s reactivation of the station’s systems causes the humans to start to revive"
109,109,Meglos,"On Tigella, two opposing factions are irrevocably divided over one fundamental issue: the Dodecahedron, a mysterious artefact which provides the entire planet’s energy. With the Savants and the Deons locked in a crippling stalemate, and their civilisation on the brink of collapse, the Tigellan leader Zastor seeks the Doctor’s help. But the Doctor and Romana have been trapped aboard the TARDIS in a timeloop by Meglos, the last of the Zolpha Thurans, who will stop at nothing to steal back the awesome power of the Dodecahedron…"
182,182,The Shakespeare Code,"For Martha’s first trip in the Tardis, the Doctor takes her back in time, to Elizabethan England, as the third series of Russell T Davies’s Doctor Who continues. When they find William Shakespeare under the control of deadly witch-like creatures, they must battle forces from the dawn of the universe to stop history being changed for ever."
167,167,Boom Town,"When the TARDIS crew take a holiday, The Doctor encounters an enemy he thought long since dead. It soon transpires that plans to build a nuclear power station in Cardiff city are disguising an alien plot to rip the world apart. And when The Doctor dines with monsters, he discovers traps within traps."
4,4,The Keys of Marinus,"On a remote island of glass surrounded by a sea of acid, there is a machine that can remove evil from the minds of an entire population – the Conscience of Marinus. Fearful of its immense power falling into the wrong hands, its sole guardian has scattered the machine’s operating keys across the planet. The TARDIS crew arrive to find the island under attack by the evil Voord. Marinus’ last line of defence – and its only hope – is the Conscience machine. The Doctor and his companions must undertake a deadly quest to recover the Keys of Marinus…"
96,96,The Invasion of Time,"After a meeting in space with a group of unseen aliens the Doctor (Tome Baker) returns to Gallifrey and claims the presidency of the Time Lords. Leela meanwhile tries to work out why he is behaving out of character. At his induction, the Doctor is ‘crowned’ with a device giving him access to the Matrix. He then arranges for the transduction barriers around Gallifrey to be put out of action by K9. When this is done, his alien ‘friends’ materialise. They are telepathic invaders called Vardans…"
303,303,The Vanquishers,"In the final epic chapter in the story of the Flux, all hope is lost. The forces of darkness are in control. But when the monsters have won, who can you count upon to save the universe?"
61,61,The Sea Devils,"The Doctor and Jo encounter an ancient race of amphibious creatures off the South Coast of England, and soon learn of their plans to seize Earth for themselves – in collaboration with the Master."
67,67,Planet of the Daleks,"Injured after a shoot-out between his old nemesis the Master and the Ogrons, slaves to the evil Daleks, the Doctor sends a message to the Time Lords, asking them to pilot his TARDIS and follow the Daleks to their new base. After he slips into a coma, it falls to his assistant Jo Grant to explore the planet where the TARDIS finally materialises. She meets a party of Thals and is left in hiding aboard their crashed spaceship while they go to the Doctor’s aid. On his recovery, the Doctor learns of their mission to destroy a party of Daleks sent here to discover the native Spiridons’ secret of invisibility.

Not only must the Doctor contend with the Daleks’ new scheme, but he must try to stop them unleashing a plague that will exterminate all organic life. When a rescue ship of Thals arrive, they bring with them darker news still – somewhere on Spiridon 12,000 Daleks are waiting to emerge and take what they believe is their rightful place as the Universe’s supreme beings!"
220,220,A Good Man Goes to War,"Amy Pond has been kidnapped and the Doctor is raising an army to rescue her as the drama continues. But as he and Rory race across galaxies, calling in long-held debts and solemnly given promises, his enemies are laying a carefully concealed trap. In her cell in Stormcage, River Song sadly acknowledges that the time has come at last – today will mark the Battle of Demons Run and the Doctor’s darkest hour. Both sides will make their sacrifices and River Song must finally reveal her most closely guarded secret to the Doctor."
206,206,The Beast Below,"The Doctor takes Amy to the distant future, where she finds Britain in space. Starship UK houses the future of the British people, as they search the stars for a new home. But as Amy explores, she encounters the terrifying Smilers and learns a deadly truth inside the Voting Booth."
157,157,Survival,"Something savage is stalking the streets of London, and humans are its prey. People are vanishing. But only young, healthy people. When the Doctor takes Ace on a sentimental journey to her old neighbourhood, they discover all her friends are missing. The Doctor and Ace are drawn into investigating, and become prey themselves."
282,282,Arachnids in the UK,"“Something’s happening with the spiders in this city.”

The Doctor, Yaz, Graham and Ryan find their way back to Yorkshire – and Yaz’s family – only to find something is stirring amidst the eight-legged arachnid population of Sheffield."
40,40,The Web of Fear,"After being caught up in a web…like substance on its journey through space, the TARDIS arrives in the tunnels of the London Underground railway system, only to find the web also in the tunnels … as is the Great Intelligence’s Yeti."
289,289,Resolution,"As the new year begins, a terrifying evil from across the centuries of Earth’s history is stirring. As the Doctor, Ryan, Graham and Yaz return home, will they be able to overcome the threat to planet Earth?"
13,13,The Crusade,"Arriving in the Holy Land in the middle of the Third Crusade, the Doctor and his companions run straight into trouble. The Doctor and Vicki befriend Richard the Lionheart, but must survive the cut-throat politics of the English court. Even with the king on their side, they find they have made powerful enemies. Looking for Barbara, Ian is ambushed – staked out in the sand and daubed with honey so that the ants will eat him. With Ian unable to help, Barbara is captured by the cruel warlord El Akir. Even if Ian escapes and rescues her, will they ever see the Doctor, Vicki and the TARDIS again?"
107,107,The Horns of Nimon,"The inhabitants of the planet Skonnos have been promised by an alien Nimon that he will restore their empire to greatness if they in return provide young sacrifices and radioactive hymetusite crystals, both of which they are obtaining from the nearby planet Aneth. With the TARDIS immobilised for repairs, the Doctor and Romana encounter the Skonnan spaceship transporting the latest sacrificial consignment from Aneth."
224,224,The God Complex,"The TARDIS lands in what looks like an ordinary hotel, as the time-travelling drama continues. But the walls move, corridors twist and rooms vanish.

There is a room for every visitor that contains their deepest, darkest fears. Fears that will kill them. What lies in the Doctor’s room? And when his turn comes, will he welcome death like all the rest?"
3,3,Marco Polo,"The TARDIS materialises at the Roof of the World, Central Asia, in 1289. There they meet Marco Polo and his fellow travellers, on their mammoth journey across the Pamir Plateau and through the Gobi desert to Peking. Unfortunately for the Doctor, his Ship proves to be of immense interest to Polo, who sets his mind on presenting it to the mighty Kublai Khan on arrival at his court…"
179,179,Army of Ghosts/Doomsday,"The human race rejoices as the ghosts of loved ones return home in the latest adventure from the nation’s favourite time traveller. But as the Doctor, Rose and Jackie investigate the Torchwood Tower, the whole of modern-day Earth threatens to fall to an almighty invasion force."
125,125,Terminus,"The TARDIS attaches itself to a space liner after Turlough, still under the Black Guardian’s influence, damages its controls. The Doctor and Nyssa meet two space pirates, Kari and Olvir, who have come on board the liner in search of plunder, while Tegan and Turlough get lost in the infrastructure."
24,24,The Gunfighters,"The TARDIS arrives in the town of Tombstone in the Wild West and the Doctor, having hurt a tooth on one of Cyril’s sweets, decides he must visit a dentist. The local dentist is Doc Holliday, currently engaged in a feud with the Clanton family. Lawmen Wyatt Earp and Bat Masterson are meanwhile doing their best to keep the peace."
30,30,The Highlanders,"Scotland, 1745. The Doctor, Ben and Polly arrive in Scotland after the Battle of Culloden and meet a band of Highlanders who are fleeing in defeat. Their Laird is injured and the three offer to help tend his injuries. Polly and Kirsty McLaren, the Laird’s daughter go to fetch some water but whilst they are gone the others are captured by Redcoat troops.

Things become worse when the group is taken again … this time by the crooked Solicitor Grey, who is part of the West Indian slave trade. The prisoners, Ben amongst them, are bundled on board the Annabelle where the wicked Captain Trask issues dire threats of drowning. Meanwhile the Doctor is on dry land confusing all and sundry in a variety of disguises. However, his bumbling manner hides a sharp brain and eventually he, Polly and Ben are reunited in the TARDIS together with young piper Jamie McCrimmon."
77,77,Genesis of the Daleks,"The Doctor and his companions are transported back in time by the Time Lords who have decided that the Daleks need to be destroyed. The Doctor’s mission is to change history so that they have never existed. Soon they are separated and The Doctor and Harry are captured by the evil Elite of the mad scientist Davros, who is working to perfect his Mark 3 travel machine: the Dalek."
280,280, The Ghost Monument,"Still reeling from their first encounter, can the Doctor and her new friends stay alive long enough, in a hostile alien environment , to solve the mystery of Desolation? And just who are Angstrom and Epzo?"
194,194,The Sontaran Stratagem/The Poison Sky,"Martha Jones summons the Doctor back to modern-day Earth, but an old enemy lies in wait. With the mysterious ATMOS devices spreading across the world, Donna discovers that even her own family is not safe from the alien threat – but is it too late to save them?"
19,19,The Myth Makers,"Long, long ago on the great plains of Asia Minor, two mighty armies faced each other in mortal combat. The armies were the Greeks and the Trojans, and the prize they were fighting for was Helen, the most beautiful woman in the world.

To the Greeks it seemed that the city of Troy was impregnable and only a miracle could bring them success. And then help comes to them in a most mysterious way, as a strange blue box materialises close to their camp, bringing with it the Doctor, Steven and Vicki, who soon find themselves caught up in the irreversible tide of history and legend…"
258,258,Under The Lake/Before The Flood ,"When an Underwater Base comes under attack, the Doctor and Clara must save the frightened crew and defeat an impossible threat. But what is behind these terrifying events? And can they really be haunted by ghosts?

On a remote Army outpost, a fearsome alien warlord – the Fisher King – sets in motion a twisted plan to ensure his own survival. The ripples will be felt around the universe. Is this chain of events inevitable? And can the Doctor do the unthinkable?"
239,239,The Crimson Horror,"Something ghastly is afoot in Victorian Yorkshire, as bodies are found with their skin a waxy, glowing red."
269,269,Thin Ice,"London, 1814. The entire city has turned out for the biggest Frost Fair in decades. But beneath the frozen Thames, revellers are disappearing, snatched through the ice. Pulled into the depths where a terrifying monster lurks. Will the Doctor and Bill stop the slaughter before they too are dragged into the icy waters?"
80,80,Planet of Evil,"The Tardis picks up a distress call and the Doctor and Sarah arrive on the planet Zeta Minor. There they discover that a Morestran geological expedition has fallen prey to an unseen killer and only the leader, Professor Sorenson, remains alive."
51,51,Doctor Who and the Silurians,"A race of intelligent reptiles wakes from hibernation in the caves beneath Derbyshire, and sets about reclaiming the planet as their own."
2,2,The Edge of Destruction,"Something has caused the Tardis console to explode in mid-flight, plunging the ship into darkness and rendering the crew unconscious. As they slowly recover, they find themselves suffering from loss of memory, and headaches. The Tardis behaves oddly, as the doors open and close of their own accord. Has the ship been possessed in some way, or is something more dangerous happening to the time travellers?"
275,275,Empress of Mars,‘God save the Queen’ has been scrawled on the surface of Mars. What are Victorians doing on the home of the Ice Warriors? And what will they find beneath the Martian soil?
104,104,City of Death,"The Doctor and Romana visit Paris for a holiday. When the Mona Lisa is stolen, the Doctor comes upon evidence of sinister time experiments being carried out by a wealthy Count, Scarlioni. He soon exposes a plot by Scaroth, the last of the Jagaroth race, to re-write the history of Earth by avoiding the destruction of his space ship – but it was this explosion that led to the formation of life on Earth!"
187,187,Human Nature/The Family of Blood,"It’s 1913 in England, and an ordinary schoolteacher called John Smith dreams of adventures in time and space and a mysterious blue box, as Russell T Davies’s Doctor Who continues. But, when lights in the sky herald the arrival of something strange and terrible, Smith’s maid, Martha, has to convince him that he alone can save the world."
86,86,The Hand of Fear,"The TARDIS materialises in a quarry just as the rock face is blasted away by open cast miners. Sarah-Jane is buried and when the Doctor and the miners dig her out, she is grasping a hand made of rock incredibly tightly. Soon, under it’s influence, she breaks into a nuclear power plant and places the hand in the radio-active core; soon it starts to regrow a body and gains a life of it’s own."
10,10,The Rescue,"Arriving on the planet Dido in the late 25th Century, the time travellers come upon a crashed spaceship from Earth. Its two occupants are living in fear of a creature called Koquillion, but everything is not as it seems."
200,200,The Stolen Earth/Journey’s End,"Earth’s greatest heroes assemble in a time of dire need. Can the Doctors secret army defeat the might of the new Dalek Empire? With battles on the streets and in the skies, the Doctor and Donna must brave the Shadow Proclamation to find out the truth. However, a fearsome old enemy waits in the shadows…"
58,58,The Daemons,"In the peaceful village of Devil’s End something very strange is happening. A professor is preparing to open a nearby burial mound and a local white has foresees death and disaster. Meanwhile, the new vicar looks suspiciously like the Master and he is using black magic to conjure up an ancient Dæmon."
41,41,Fury from the Deep,"The TARDIS brings the Doctor, Jamie and Victoria to the south coast of present…day Earth. Something nasty is lurking in the gas pipelines of the North Sea, and before long the nearby refinery is under attack.

Landing on a foam covered beach, the travellers are at first mistaken for saboteurs. A number of the refinery personnel have been behaving strangely, and the base chief, Robson, is showing serious signs of stress. Meanwhile Maggie Harris, having been stung by a mysterious frond of sea vegetation, is menaced by the sinister engineers Oak and Quill.

As sentient foam and weed combine to frightening effect, it soon becomes clear that the danger emanates from beneath the sea. Can that really be a heartbeat coming from deep inside the refinery pipes? Will the Doctor and his friends be in time to prevent an entire take…over of Earth – and will they all escape with their lives?"
14,14,The Space Museum,"The TARDIS jumps a time track and the travellers arrive on the planet Xeros. There they discover their own future selves displayed as exhibits in a museum established as a monument to the Galactic conquests of the warlike Morok invaders who now rule the planet. When time shifts back to normal, they realise that they must do everything they can to try to avert this potential future."
155,155,Ghost Light,"The Doctor brings Ace to Gabriel Chase, an old house that she once burnt down in her home town of Perivale. The year is 1883 and the house is presided over by Josiah Samuel Smith, who turns out to be the evolved form of an alien brought to Earth in a stone spaceship that is now in the basement…"
50,50,Spearhead from Space,"Forbidden to continue his travels through time and space by his fellow Time Lords, the newly regenerated Doctor begins his exile on Earth and finds himself hurled into one of his most exciting and terrifying adventures. But the Doctor is not the only alien intelligence arriving on the planet. A shower of mysterious meteorites signals the coming of the Nestene Consciousness – an evil, cosmic, collective being with just one goal – total conquest of Earth. The Nestenes possess a special ability to control plastic and are making hordes of Autons – indestructible, armed, plastic mannikins, only awaiting the Nestene command to start their killer rampage."
219,219,The Rebel Flesh/The Almost People,"A solar tsunami sends the TARDIS hurtling towards a futuristic factory on Earth, where human doppelgangers are used to mine dangerous acid, as the time-travelling adventures continue. A second wave hits and the “Gangers” separate. They can remember every second of their “original’s” life and feel every emotion they’ve ever experienced. But are these memories stolen or have they been bequeathed? Are the Gangers merely faulty machinery that must be shut down or are they living, breathing, sentient beings? Can the Doctor convince the terrified humans to accept these “almost people” and prevent an all-out civil war before the factory explodes?"
294,294,Fugitive Of The Judoon,"Stomping their way into present-day Gloucester, the Judoon are on the hunt for someone on the run. Who is this fugitive? And why are these alien mercenaries after them?"
241,241,The Name of the Doctor,The Doctor has a secret he will take to his grave. And it is discovered…
123,123,Snakedance,Tegan falls once more under the influence of the Mara and directs the Tardis to the planet Manussa. There the Federator’s son Lon and his mother Tanha are preparing for a ceremony to celebrate the banishment of the Mara five hundred years earlier. It’s up to the Doctor to defeat the evil Mara.
208,208,The Time of Angels/Flesh and Stone,"The Doctor, played by Matt Smith, is recruited by Father Octavian to track the last of the Angels through the terrifying Maze Of The Dead. Meanwhile, the mysterious River Song re-enters the Doctor’s life – but can he trust her?"
62,62,The Mutants,"When a strange message pod turns up at Unit HQ, the Doctor and his assistant Jo suddenly find themselves involved in another dangerous mission for the Time Lords. The Tardis takes them to Skybase One above the inhospitable Solos. It is the 30th century and the planet is about to gain independence from Earth’s glorious empire. But someone on Solos has other plans and, alarmingly, the natives are slowly mutating into fierce-looking creatures. It’s time for the Doctor and Jo to find out why."
298,298,The Halloween Apocalypse,"On Halloween, all across the universe, terrifying forces are stirring. From the Arctic Circle to deep space, an ancient evil is breaking free. And in present day Liverpool, the life of Dan Lewis is about to change forever. Why is the Doctor on the trail of the fearsome Karvanista? And what is the Flux?"
234,234,The Bells of Saint John,"The search for Clara brings the Doctor to London, 2013, where something deadly is waiting in the Wi-Fi."
130,130,The Awakening,"The TARDIS has brought the Doctor Tegan and Turlough to the English country village of Little Hodcombe in 1984 where an alien war machine, the Malus, is affecting its inhabitants. A re-enactment of a civil war battle becomes dangerously real as the Malus gather sufficient psychic energy to re-awake."
217,217,The Curse of the Black Spot,"The TARDIS is marooned onboard a 17th-century pirate ship whose crew is being attacked by a mysterious and beautiful sea creature. Becalmed and beset by cabin fever, the pirates have numerous superstitious explanations for the Siren’s appearance. The Doctor has other ideas but, as his theories are disproved and every plan of escape is thwarted, he must work to win the trust of the implacable Captain Avery and uncover the truth behind the pirates’ supernatural fears – and he must work quickly, for some of his friends have already fallen under the Siren’s spell…"
191,191,Partners in Crime,"Donna Noble is determined to find the Doctor again – even if it means braving the villainous Miss Foster and her hordes of sinister Adipose. But when the alien threat escalates out of control, can Donna find her Time Lord before the march of the Adipose begins?"
218,218,The Doctor’s Wife,"The Doctor receives a distress signal from an old friend. Could there really be another living Time Lord out there? Hopes raised, he follows the signal to a junkyard planet sitting upon a mysterious asteroid in a Bubble universe, populated by a very strange family, as the time-travelling drama continues. The Doctor, Amy and Rory are given the warmest of welcomes by Auntie, Uncle and Nephew. But the beautiful and insane Idris greets them in a more unusual fashion – what is she trying to tell the Doctor? As the Doctor investigates, he unwittingly puts his friends in the gravest danger."
43,43,The Dominators,"The TARDIS materialises on the planet Dulkis, currently under threat from two alien Dominators, Rago and his subordinate Toba, who have landed in a spaceship. Aided by their robotic servants, the Quarks, and slave workers drawn from the native Dulcian population, the Dominators set about drilling bore holes, through which they plan to fire rockets into the planet’s molten core. Their intention is then to drop an atomic seed capsule into the resulting eruption, turning Dulkis into a radioactive mass – fuel for the Dominators’ space fleet."
114,114,Logopolis,"In theory the TARDIS should be able to change its appearance to blend in unobtrusively wherever it happens to materialize. In practice, however, because of a fault in the chameleon circuit, it always looks like a police box – a minor inconvenience the Doctor hopes to correct. Fixing the mechanism involves a visit to Earth and a trip to the planet Logopolis – normally a quiet little place that keeps itself to itself."
138,138,The Mark of the Rani,"The Doctor and Peri arrive in the north of England during the Luddite uprisings, and discover that brilliant but amoral Time Lord the Rani is stealing the chemical which promotes sleep from the mine workers’ brains. The Master is also in town, planning to use the disruptive Luddites to deprive the Doctor of his TARDIS and destroy him once and for all."
249,249,Time Heist,"The Doctor turns bank robber when he is given a task he cannot refuse – to steal from the most dangerous bank in the cosmos.

With the help of a beautiful shape-shifter and cyber-augmented gamer, the Doctor and Clara must fight their way past deadly security and come face to face with the fearsome Teller: a creature of terrifying power that can detect guilt…"
226,226,The Wedding Of River Song,"As the Doctor makes his final journey to the shores of Lake Silencio in Utah, he knows only one thing can keep the universe safe – his own death. But has he reckoned without the love of a good woman?"
149,149,Dragonfire,"On the planet Svartos, the Doctor (Sylvester McCoy) and Mel unexpectedly encounter an old friend – Sabalom Glitz. Joined by Ace, a teenage waitress with a love for explosives, the group ventures off to find the fabled Dragonfire treasure."
112,112,Warriors’ Gate,"The TARDIS is hijacked in the vortex by a time sensitive Tharil named Biroc, and brought to a strange white void. Biroc wants to free the others of his race who are being transported in a slave ship, captained by Rorvik, which is also trapped in the void. The only other thing present in the void is an ancient gateway leading to a decrepit banqueting hall."
255,255,Dark Water/Death in Heaven,"In the mysterious world of the Nethersphere, plans have been drawn up. Missy is about to come face to face with the Doctor, and an impossible choice is looming.

“Death is not an end” promises the sinister organisation known only as 3W – but, as the Doctor and Clara discover, you might wish it was.

With Cybermen on the streets of London, old friends unite against old enemies and the Doctor takes to the air in a startling new role.

Can the mighty UNIT contain Missy? As the Doctor faces his greatest challenge, sacrifices must be made before the day is won."
98,98,The Pirate Planet,Coming soon
225,225,Closing Time,"In the last few days of his life, the Doctor pays a farewell visit to his old friend Craig, and encounters a mystery. People are going missing, a silver rat scuttles in the shadows of a department store, and somewhere close by the Cybermen are waiting…"
93,93,Image of the Fendahl,"A sonic time scan draws the TARDIS to the Fetch Priory on Earth. There, the Doctor and Leela discover an impossibly old human skull that is the key to a nightmare from the Time Lords’ past. A murderous monster stalks the priory grounds; and within, someone is intent on unleashing a malevolent creature that feeds on death itself…"
